Link,Date/Time,Content,ok_to_upload
https://x.com/rockoder/status/1404007281310650383,2021-06-13T09:26:35.000Z,I have not been bored since the first time I wrote code.,y
https://x.com/rockoder/status/1922624030089113978,2025-05-14T12:04:24.000Z,We need an emoji to mark posts as 'fake',y
https://x.com/SpokespersonMoD/status/1921140234214887815,2025-05-10T09:48:19.000Z,"In these sensitive times, a lot of misinformation and fake news is being spread on #WhatsApp. Be cautious and follow our WhatsApp Channel for all authentic information related to Ministry of Defence. 

Tap on the link given below and follow now!


https://
whatsapp.com/channel/0029Va
EHkn3JkK7BfWTsm23W
…",""
https://x.com/rockoder/status/1917303530227978257,2025-04-29T19:42:38.000Z,Discipline is also a talent!,y
https://x.com/jposhaughnessy/status/1913895419337130314,2025-04-20T10:00:01.000Z,"Two thoughts from Mario Vargas Llosa

“Writers are the exorcists of their own demons.”

“Reading is a protest against the insufficiencies of life.”",
https://x.com/rockoder/status/1744835068755861660,2024-01-09T21:34:32.000Z,“No” is no to one thing. “Yes” is no to a lot of things.,y
https://x.com/rockoder/status/1743567675203195339,2024-01-06T09:38:22.000Z,You cannot deploy Jira ticket in production.,y
https://x.com/rockoder/status/1720361536206581944,2023-11-03T08:45:27.000Z,"It feels intellectually and emotionally lazy to just pick a side. 
@harari_yuval",n
https://x.com/rockoder/status/1669811661522321408,2023-06-16T20:58:18.000Z,The past can be changed. The essence of it anyway.,y
https://x.com/rockoder/status/1668564979618914304,2023-06-13T10:24:26.000Z,Previous decisions were made by previous you.,y
https://x.com/shaneparrish/status/1650841780969930753,2023-04-25T12:38:46.000Z,"No matter what you think your priorities are, how you spend your time tells the real story.",
https://x.com/rockoder/status/1630997321616969728,2023-03-01T18:23:58.000Z,Just because you learned how to pronounce Kubernetes does not mean you have to use it.,y
https://x.com/rockoder/status/1629211773944442882,2023-02-24T20:08:50.000Z,"Randomly stumbled upon this and it blew my mind:
How we found about Black Holes by Isaac Asimov


http://
arvindguptatoys.com/arvindgupta/bl
ackholespix.pdf
…

As readable as sci-fi!",n
https://x.com/rockoder/status/1609907072497516545,2023-01-02T13:38:51.000Z,"""The biggest generator of long-term results is learning to do things when you don't feel like doing them.

If you let excuses or emotion drive behavior, you're cheating your future self.""

A Tiny Thought in 
@farnamstreet
 Brain food. 


https://
fs.blog/brain-food/jan
uary-1-2023/
…",y
https://x.com/Rainmaker1973/status/1594699834086363138,2022-11-21T14:30:43.000Z,"South Korean firm ETI is offering a novel roller barrier system, designed to reduce crash risks. The rollers are made from an ethyl vinyl acetate (EVA) material that is highly shock absorbent, a key design feature

[read more: 
https://
buff.ly/3TSGm7V]",
https://x.com/rockoder/status/1589901682590502912,2022-11-08T08:44:34.000Z,"Race, religion, ethnic pride and nationalism teaches you to hate people that you've never met.",y
https://x.com/rockoder/status/1583910871264559105,2022-10-22T19:59:14.000Z,Brutal,y
https://x.com/rockoder/status/1572201379959083009,2022-09-20T12:29:53.000Z,"That hurts a little but needed to be said I guess. 
https://
t.co/k1htgF3tuN",n
https://x.com/rockoder/status/1559305137310556161,2022-08-15T22:24:49.000Z,"It gets harder to read fiction as you get older. 
https://
x.com/briankoppelman
/briankoppelman/status/1077329249307160577
…",n
https://x.com/CarlNasman/status/1549299781540921347,2022-07-19T07:47:07.000Z,"“It’s just summer.”  
https://
x.com/BestForBritain
/status/1549009663378788355/video/1
…",
https://x.com/rockoder/status/1547991985117573121,2022-07-15T17:10:24.000Z,"https://
youtube.com/watch?v=PUv667
18DII
…",n
